dataset	model	gen	pagerank_js	ci_lower	ci_upper
flights	Chung-Lu	17	0.13041377749259125	0.12911410913376506	0.13171344585141745
flights	Chung-Lu	18	0.13161812143038576	0.13045193970208768	0.1327843031586839
flights	Chung-Lu	19	0.13334621619445142	0.13199327525657475	0.13469915713232808
flights	Chung-Lu	20	0.13505597318889592	0.13375630111231787	0.13635564526547403
flights	Erdos-Renyi	1	0.6638214416190336	0.6626180546983301	0.6650248285397372
flights	Erdos-Renyi	2	0.6637158150728217	0.6628033500627333	0.6646282800829102
flights	Erdos-Renyi	3	0.6642628340042128	0.6630995230209517	0.665426144987474
flights	Erdos-Renyi	4	0.6635840143635974	0.6624020192810305	0.6647660094461647
flights	Erdos-Renyi	5	0.6640670363177895	0.6630751145547349	0.6650589580808444
flights	Erdos-Renyi	6	0.6629867907386598	0.6618804358637338	0.6640931456135859
flights	Erdos-Renyi	7	0.664404013072799	0.6629997677295578	0.6658082584160401
flights	Erdos-Renyi	8	0.6639603292174412	0.6628003204047925	0.6651203380300899
flights	Erdos-Renyi	9	0.6635879408725427	0.6624091264104439	0.6647667553346415
flights	Erdos-Renyi	10	0.6640905587132856	0.6626797693588015	0.6655013480677697
flights	Erdos-Renyi	11	0.6643564264604338	0.6628638459451303	0.6658490069757373
flights	Erdos-Renyi	12	0.6632675139812839	0.6621225658246761	0.6644124621378917
flights	Erdos-Renyi	13	0.6637621002931369	0.6624729787454599	0.6650512218408139
flights	Erdos-Renyi	14	0.6641430109236142	0.6625772688153695	0.6657087530318584
flights	Erdos-Renyi	15	0.6635405549969419	0.662134866724918	0.6649462432689658
flights	Erdos-Renyi	16	0.6640380601061873	0.6624259157096912	0.6656502045026829
flights	Erdos-Renyi	17	0.6646773005517241	0.6631748862781117	0.6661797148253359
flights	Erdos-Renyi	18	0.6644677159536185	0.6626978865141314	0.6662375453931056
flights	Erdos-Renyi	19	0.6646064678583633	0.6629530729920137	0.6662598627247127
flights	Erdos-Renyi	20	0.6647367768286918	0.6626896600947276	0.666783893562656
flights	GCN_AE	1	0.8214234248542803	0.8191441027649758	0.823702746943585
flights	GCN_AE	2	0.8901816354823967	0.8746115304119602	0.9057517405528333
flights	GCN_AE	3	0.9187545557264477	0.9038332960467115	0.9336758154061853
flights	GCN_AE	4	0.9213859085958687	0.9071079039002394	0.9356639132914997
flights	GCN_AE	5	0.9258327885282776	0.9129066429435999	0.9387589341129567
flights	GCN_AE	6	0.9270933900980216	0.9145629456161511	0.9396238345798936
