dataset	model	gen	degree_js	ci_lower	ci_upper
chess	Linear_AE	13	0.9781242816265243	0.9770180361408234	0.9792305271122252
chess	Linear_AE	14	0.9781242816265243	0.9770180361408234	0.9792305271122252
chess	Linear_AE	15	0.9610172160572242	0.920832313929165	1.0012021181852835
chess	Linear_AE	16	0.9610172160572242	0.920832313929165	1.0012021181852835
chess	Linear_AE	17	0.9610172160572242	0.920832313929165	1.0012021181852835
chess	Linear_AE	18	0.9610172160572242	0.920832313929165	1.0012021181852835
chess	Linear_AE	19	0.9610172160572242	0.920832313929165	1.0012021181852835
chess	Linear_AE	20	0.9797171710451386	0.9784533142816745	0.9809810278086024
chess	SBM	1	0.24695467889076744	0.2466151772692517	0.24729418051228313
chess	SBM	2	0.24298724758822055	0.23463466314406642	0.2513398320323747
chess	SBM	3	0.2474171928601259	0.24708013492372577	0.24775425079652608
chess	SBM	4	0.24728682659104312	0.246865555984534	0.2477080971975523
chess	SBM	5	0.24724965976287241	0.2468324224380738	0.24766689708767103
chess	SBM	6	0.2476463052102303	0.24731654079215498	0.2479760696283056
chess	SBM	7	0.24385224273873338	0.23625662390930188	0.2514478615681647
chess	SBM	8	0.24786403189562323	0.24750510423853198	0.2482229595527146
chess	SBM	9	0.23637417289632323	0.2231245794046381	0.24962376638800837
chess	SBM	10	0.24762451735344393	0.2472855028412543	0.24796353186563355
chess	SBM	11	0.2398666294552705	0.22852403909925198	0.25120921981128913
chess	SBM	12	0.24400668080569937	0.23614447382206027	0.25186888778933847
chess	SBM	13	0.23982433108976353	0.22855617168595285	0.2510924904935742
chess	SBM	14	0.24807004884922043	0.24772281168521523	0.24841728601322557
chess	SBM	15	0.24409469605982984	0.23618989657497888	0.25199949554468076
chess	SBM	16	0.24072125599179905	0.23018737766376443	0.25125513431983365
chess	SBM	17	0.24070273116420451	0.2300034072500969	0.25140205507831215
chess	SBM	18	0.24078380086390813	0.23026215853315615	0.25130544319466
chess	SBM	19	0.2440818288432717	0.2358023053042944	0.252361352382249
chess	SBM	20	0.24072171972842388	0.22954236779532233	0.2519010716615255
