,name,orig_n,orig_m,model,sel,trial_id,gen_id,gen_n,gen_m,deltacon0,lambda_dist,degree_cvm,pagerank_cvm,pgd_pearson,pgd_spearman,node_diff,edge_diff,num_components,giant_frac,num_clusters,modularity
78,flights,2905,15645,CNRG,fast,4,19,2879,8558,11686.384,39.678,0.185,0.184,3.9194694919642004e-05,0.0808823529411763,26.0,7087.0,1,1.0,24,0.49288616160020193
79,flights,2905,15645,CNRG,fast,4,20,2873,8495,11810.623,39.918,0.165,0.189,3.955368869501541e-05,0.0808823529411763,32.0,7150.0,1,1.0,25,0.4680621464483662
80,flights,2905,15645,CNRG,fast,5,1,2875,13746,10970.415,10.768,0.1,0.021,2.0109048792793516e-06,0.0,30.0,1899.0,1,1.0,34,0.636379586498865
81,flights,2905,15645,CNRG,fast,5,2,2889,12506,12048.244,18.831,0.097,0.041,7.018214138621026e-06,0.007352941176470451,16.0,3139.0,1,1.0,36,0.6282780682991662
82,flights,2905,15645,CNRG,fast,5,3,2902,11669,12537.074,23.272,0.13,0.05,1.248883455007288e-05,0.009803921568627305,3.0,3976.0,1,1.0,45,0.617318376120083
83,flights,2905,15645,CNRG,fast,5,4,2923,11063,12782.548,26.204,0.105,0.064,1.7963263343023783e-05,0.031862745098039214,18.0,4582.0,1,1.0,42,0.6070023271269882
84,flights,2905,15645,CNRG,fast,5,5,2905,10592,13232.499,28.896,0.066,0.072,2.0600914476975873e-05,0.031862745098039214,0.0,5053.0,1,1.0,41,0.5926660888041254
85,flights,2905,15645,CNRG,fast,5,6,2877,10182,13191.044,31.334,0.169,0.09,2.2339168940899157e-05,0.039215686274509776,28.0,5463.0,1,1.0,36,0.5859622933712307
86,flights,2905,15645,CNRG,fast,5,7,2901,9904,12933.566,34.171,0.158,0.102,2.6478064092283482e-05,0.039215686274509776,4.0,5741.0,1,1.0,30,0.5719184767467204
87,flights,2905,15645,CNRG,fast,5,8,2923,9732,12712.494,35.378,0.118,0.112,2.9629547828702307e-05,0.051470588235294046,18.0,5913.0,1,1.0,32,0.5702642312115109
88,flights,2905,15645,CNRG,fast,5,9,2926,9526,12781.015,36.153,0.106,0.12,3.194845327669782e-05,0.051470588235294046,21.0,6119.0,1,1.0,29,0.5566379343290618
89,flights,2905,15645,CNRG,fast,5,10,2931,9400,12618.45,36.61,0.104,0.122,3.360402249807937e-05,0.05882352941176472,26.0,6245.0,1,1.0,26,0.550384268899955
90,flights,2905,15645,CNRG,fast,5,11,2950,9276,13007.143,37.38,0.103,0.131,3.632409217890764e-05,0.05882352941176472,45.0,6369.0,1,1.0,23,0.5407562389812418
91,flights,2905,15645,CNRG,fast,5,12,2935,9167,12567.036,38.011,0.095,0.136,3.638115687321086e-05,0.0808823529411763,30.0,6478.0,1,1.0,25,0.530158547107108
92,flights,2905,15645,CNRG,fast,5,13,2939,9053,12569.867,38.615,0.113,0.143,3.793602351320757e-05,0.0808823529411763,34.0,6592.0,1,1.0,23,0.5230406298517556
93,flights,2905,15645,CNRG,fast,5,14,2944,8944,12774.841,39.217,0.122,0.15,3.955600989735686e-05,0.0808823529411763,39.0,6701.0,1,1.0,27,0.5160548886372293
94,flights,2905,15645,CNRG,fast,5,15,2961,8882,12784.736,39.559,0.103,0.156,4.1508364066578096e-05,0.0808823529411763,56.0,6763.0,1,1.0,25,0.5078929281260305
95,flights,2905,15645,CNRG,fast,5,16,2969,8814,12461.356,39.786,0.106,0.164,4.284301553614256e-05,0.0808823529411763,64.0,6831.0,1,1.0,20,0.5024606432749351
96,flights,2905,15645,CNRG,fast,5,17,2986,8804,12332.563,39.96,0.112,0.169,4.415815797587097e-05,0.0808823529411763,81.0,6841.0,1,1.0,20,0.4993697750248171
97,flights,2905,15645,CNRG,fast,5,18,3002,8750,12414.123,40.107,0.093,0.169,4.601659430114591e-05,0.0808823529411763,97.0,6895.0,1,1.0,21,0.49200329142857147
98,flights,2905,15645,CNRG,fast,5,19,3025,8730,12333.27,40.436,0.095,0.171,4.793405497038883e-05,0.0808823529411763,120.0,6915.0,1,1.0,22,0.4747029243080895
99,flights,2905,15645,CNRG,fast,5,20,3039,8676,12272.436,40.772,0.11,0.172,4.962046131795628e-05,0.0808823529411763,134.0,6969.0,1,1.0,19,0.47059996007066346
100,flights,2905,15645,CNRG,fast,6,1,2906,13911,11107.293,11.381,0.068,0.02,2.377061414149395e-06,0.0,1.0,1734.0,1,1.0,34,0.6397922447941636
101,flights,2905,15645,CNRG,fast,6,2,2932,12639,12486.314,18.567,0.069,0.037,8.37893077687557e-06,0.007352941176470451,27.0,3006.0,1,1.0,43,0.6286797575733535
102,flights,2905,15645,CNRG,fast,6,3,2943,11610,12901.386,23.843,0.075,0.048,1.5156803059523938e-05,0.014705882352941013,38.0,4035.0,1,1.0,40,0.6165264358964652
103,flights,2905,15645,CNRG,fast,6,4,2928,11003,12826.786,27.08,0.089,0.068,1.8763974454105714e-05,0.031862745098039214,23.0,4642.0,1,1.0,46,0.6120474657754682
104,flights,2905,15645,CNRG,fast,6,5,2934,10571,12767.388,29.581,0.082,0.084,2.2622119831727794e-05,0.031862745098039214,29.0,5074.0,1,1.0,41,0.604702335718543
105,flights,2905,15645,CNRG,fast,6,6,2906,10123,12410.813,31.433,0.101,0.097,2.4808524362152085e-05,0.039215686274509776,1.0,5522.0,1,1.0,45,0.5943241652323267
106,flights,2905,15645,CNRG,fast,6,7,2878,9765,12323.803,32.705,0.169,0.106,2.6377143785616397e-05,0.039215686274509776,27.0,5880.0,1,1.0,43,0.5806459687972003
107,flights,2905,15645,CNRG,fast,6,8,2889,9545,12106.31,33.876,0.135,0.116,2.928893832609969e-05,0.039215686274509776,16.0,6100.0,1,1.0,36,0.567693089528497
108,flights,2905,15645,CNRG,fast,6,9,2883,9332,12223.388,35.361,0.141,0.122,3.105324275598509e-05,0.051470588235294046,22.0,6313.0,1,1.0,32,0.5619228823148881
109,flights,2905,15645,CNRG,fast,6,10,2861,9154,12031.714,35.949,0.134,0.132,3.134954613348562e-05,0.05882352941176472,44.0,6491.0,1,1.0,29,0.547514296554253
110,flights,2905,15645,CNRG,fast,6,11,2863,9052,12067.377,36.82,0.157,0.142,3.255630428844469e-05,0.06617647058823528,42.0,6593.0,1,1.0,34,0.5449132744398784
111,flights,2905,15645,CNRG,fast,6,12,2870,8956,11987.969,37.335,0.136,0.15,3.413745360247855e-05,0.0808823529411763,35.0,6689.0,1,1.0,35,0.5408677174359044
112,flights,2905,15645,CNRG,fast,6,13,2879,8855,11692.927,37.559,0.159,0.153,3.59153547334623e-05,0.0808823529411763,26.0,6790.0,1,1.0,26,0.5317636518589064
113,flights,2905,15645,CNRG,fast,6,14,2883,8782,11760.767,38.001,0.14,0.159,3.703857976211644e-05,0.0808823529411763,22.0,6863.0,1,1.0,22,0.517474486772674
114,flights,2905,15645,CNRG,fast,6,15,2878,8683,11531.883,38.507,0.149,0.168,3.7781547053361564e-05,0.0808823529411763,27.0,6962.0,1,1.0,21,0.521877116243868
115,flights,2905,15645,CNRG,fast,6,16,2879,8619,11462.315,39.609,0.151,0.176,3.8579021725548834e-05,0.0808823529411763,26.0,7026.0,1,1.0,28,0.5123579900973738
116,flights,2905,15645,CNRG,fast,6,17,2879,8542,11485.527,40.156,0.147,0.18,3.9521418871091285e-05,0.0808823529411763,26.0,7103.0,1,1.0,29,0.5052447268283246
117,flights,2905,15645,CNRG,fast,6,18,2887,8478,11578.898,40.543,0.145,0.184,4.091053820387547e-05,0.0808823529411763,18.0,7167.0,1,1.0,25,0.49864115501253475
118,flights,2905,15645,CNRG,fast,6,19,2895,8445,11503.536,40.768,0.145,0.189,4.189638541152174e-05,0.09068627450980382,10.0,7200.0,1,1.0,20,0.47520309907628533
119,flights,2905,15645,CNRG,fast,6,20,2876,8368,11541.374,40.923,0.139,0.194,4.147442823421166e-05,0.09068627450980382,29.0,7277.0,1,1.0,21,0.4772087480326583
120,flights,2905,15645,CNRG,fast,7,1,2877,13726,11220.468,11.602,0.085,0.018,2.1164954842056716e-06,0.0,28.0,1919.0,1,1.0,38,0.6410260122292273
121,flights,2905,15645,CNRG,fast,7,2,2879,12505,13115.572,19.611,0.117,0.031,6.68879932608224e-06,0.007352941176470451,26.0,3140.0,1,1.0,42,0.6264253642805161
122,flights,2905,15645,CNRG,fast,7,3,2895,11702,12936.784,23.707,0.145,0.049,1.1892136426161493e-05,0.009803921568627305,10.0,3943.0,1,1.0,49,0.6209370783912842
123,flights,2905,15645,CNRG,fast,7,4,2897,11049,12580.628,26.978,0.143,0.056,1.654557107622079e-05,0.031862745098039214,8.0,4596.0,1,1.0,45,0.6146827614041014
124,flights,2905,15645,CNRG,fast,7,5,2880,10508,12208.375,29.705,0.139,0.072,1.973715282388433e-05,0.031862745098039214,25.0,5137.0,1,1.0,54,0.6002197068044951
125,flights,2905,15645,CNRG,fast,7,6,2872,10099,11930.226,31.92,0.149,0.076,2.27998188754297e-05,0.039215686274509776,33.0,5546.0,1,1.0,41,0.5922155294724027
126,flights,2905,15645,CNRG,fast,7,7,2873,9805,11807.78,33.922,0.151,0.09,2.557972722416757e-05,0.039215686274509776,32.0,5840.0,1,1.0,35,0.5867818274818938
127,flights,2905,15645,CNRG,fast,7,8,2848,9527,11869.31,35.301,0.163,0.105,2.6523770726649687e-05,0.051470588235294046,57.0,6118.0,1,1.0,40,0.5794791827030391
128,flights,2905,15645,CNRG,fast,7,9,2843,9318,11829.343,36.231,0.158,0.117,2.8308648183039686e-05,0.051470588235294046,62.0,6327.0,1,1.0,38,0.5674839807887866
129,flights,2905,15645,CNRG,fast,7,10,2814,9124,11609.836,36.984,0.175,0.126,2.8272608487700523e-05,0.05882352941176472,91.0,6521.0,1,1.0,42,0.5654309272162518
130,flights,2905,15645,CNRG,fast,7,11,2805,8953,11573.791,37.857,0.179,0.131,2.9433985424542897e-05,0.05882352941176472,100.0,6692.0,1,1.0,30,0.549004357229519
131,flights,2905,15645,CNRG,fast,7,12,2786,8801,11309.714,38.22,0.192,0.138,2.9704447899292497e-05,0.0808823529411763,119.0,6844.0,1,1.0,21,0.5361262350482554
132,flights,2905,15645,CNRG,fast,7,13,2802,8721,11478.781,38.754,0.172,0.142,3.176024289353041e-05,0.0808823529411763,103.0,6924.0,1,1.0,22,0.5309673257048066
133,flights,2905,15645,CNRG,fast,7,14,2773,8603,11324.76,39.209,0.17,0.153,3.090902599145462e-05,0.0808823529411763,132.0,7042.0,1,1.0,23,0.5260961628330494
134,flights,2905,15645,CNRG,fast,7,15,2756,8497,11342.414,39.479,0.163,0.166,3.087108773858205e-05,0.0808823529411763,149.0,7148.0,1,1.0,24,0.5127880979640594
135,flights,2905,15645,CNRG,fast,7,16,2732,8388,11246.568,39.796,0.187,0.169,3.035571547727045e-05,0.0808823529411763,173.0,7257.0,1,1.0,22,0.5063886768321982
136,flights,2905,15645,CNRG,fast,7,17,2724,8309,11183.198,40.026,0.164,0.179,3.065893691645005e-05,0.0808823529411763,181.0,7336.0,1,1.0,19,0.4988498320258231
137,flights,2905,15645,CNRG,fast,7,18,2744,8282,11071.727,40.286,0.187,0.183,3.247814561868623e-05,0.0808823529411763,161.0,7363.0,1,1.0,18,0.48976073924235886
