rule_id, collapses, edges_approx, total_cost, rule_details
86, 1, 0, 26053, [('type_0'  'type_0')  ('type_0'  'type_1')  ('type_0'  1551)  ('type_1'  'type_1')  ('type_1'  2270)  (2270  1551)]
53523, 1, 1, 26040, [('type_0'  'type_0')  ('type_0'  'type_1')  ('type_0'  1490)  ('type_1'  'type_1')  ('type_1'  1705)  (1490  2778)  (2778  1490)  (1705  2778)]
86, 2, 0, 26050, [('type_0'  'type_0')  ('type_0'  'type_1')  ('type_0'  1551)  ('type_1'  'type_1')  ('type_1'  2270)  (2270  1551)]
100, 1, 1, 26050, [('type_0'  'type_0')  ('type_0'  'type_1')  ('type_0'  833)  ('type_1'  'type_1')  ('type_1'  2513)  (1949  833)  (2513  833)]
855, 1, 2, 26027, [('type_0'  'type_0')  ('type_0'  'type_1')  ('type_0'  1888)  ('type_1'  'type_1')  ('type_1'  1309)  (20  1188)  (1188  1309)  (2368  20)  (2368  1888)]
19, 1, 1, 26027, [('type_0'  'type_0')  ('type_0'  'type_1')  ('type_0'  1988)  ('type_1'  'type_1')  ('type_1'  1988)  (1249  1988)  (1249  2084)]
86, 1, 0, 26038, [('type_0'  'type_0')  ('type_0'  'type_1')  ('type_0'  1551)  ('type_1'  'type_1')  ('type_1'  2270)  (2270  1551)]
12, 1, 1, 26038, [('type_0'  'type_0')  ('type_0'  'type_1')  ('type_0'  886)  ('type_1'  'type_1')  ('type_1'  1478)  (1478  886)  (1478  2921)]
100, 1, 1, 26038, [('type_0'  'type_0')  ('type_0'  'type_1')  ('type_0'  833)  ('type_1'  'type_1')  ('type_1'  2513)  (1949  833)  (2513  833)]
86, 3, 3, 26053, [('type_0'  'type_0')  ('type_0'  'type_1')  ('type_0'  1551)  ('type_1'  'type_1')  ('type_1'  2270)  (2270  1551)]
12, 1, 1, 26053, [('type_0'  'type_0')  ('type_0'  'type_1')  ('type_0'  886)  ('type_1'  'type_1')  ('type_1'  1478)  (1478  886)  (1478  2921)]
86, 5, 3, 26066, [('type_0'  'type_0')  ('type_0'  'type_1')  ('type_0'  1551)  ('type_1'  'type_1')  ('type_1'  2270)  (2270  1551)]
0, 1, 1, 26079, [('type_0'  'type_0')  ('type_0'  'type_1')  ('type_0'  1376)  ('type_1'  'type_1')  ('type_1'  1376)  (1376  994)]
14, 1, 2, 26068, [('type_0'  'type_0')  ('type_0'  'type_1')  ('type_0'  886)  ('type_1'  'type_1')  ('type_1'  1478)  (1478  886)  (1478  2921)  (2921  1952)]
98, 1, 1, 26068, [('type_0'  'type_0')  ('type_0'  'type_1')  ('type_0'  1617)  ('type_1'  'type_1')  ('type_1'  1275)  (2580  1275)  (1617  2580)]
100, 1, 1, 26068, [('type_0'  'type_0')  ('type_0'  'type_1')  ('type_0'  833)  ('type_1'  'type_1')  ('type_1'  2513)  (1949  833)  (2513  833)]
12, 3, 3, 26044, [('type_0'  'type_0')  ('type_0'  'type_1')  ('type_0'  886)  ('type_1'  'type_1')  ('type_1'  1478)  (1478  886)  (1478  2921)]
100, 2, 3, 26035, [('type_0'  'type_0')  ('type_0'  'type_1')  ('type_0'  833)  ('type_1'  'type_1')  ('type_1'  2513)  (1949  833)  (2513  833)]
0, 5, 2, 26046, [('type_0'  'type_0')  ('type_0'  'type_1')  ('type_0'  1376)  ('type_1'  'type_1')  ('type_1'  1376)  (1376  994)]
11721, 1, 0, 26065, [('type_0'  'type_0')  ('type_0'  'type_1')  ('type_0'  1490)  ('type_1'  'type_1')  ('type_1'  1490)  (1490  2778)  (2778  1490)]
Basic edge list: 42010 bits
Final compression: 26065 bits (62.04475124970245 percent)
Best compression: 26027 bits (61.95429659604856 percent) occurred with 2556 of 3000 nodes compressed (85.2 percent)

real	3194m41.811s
user	3184m11.777s
sys	2m36.425s
